id,year_month,variable,value,monthly_screen_time,app_to_screen_ratio
AS14.01,2014-03,appCat.builtin,25093.415,133165.6600012779,0.18843758217966403
AS14.01,2014-03,appCat.communication,64340.668,133165.6600012779,0.4831626111370046
AS14.01,2014-03,appCat.entertainment,10068.405999999999,133165.6600012779,0.07560812599812429
AS14.01,2014-03,appCat.finance,416.154,133165.6600012779,0.0031250849505496123
AS14.01,2014-03,appCat.game,284.212,133165.6600012779,0.0021342739561931554
AS14.01,2014-03,appCat.office,357.66700000000003,133165.6600012779,0.002685880128529891
AS14.01,2014-03,appCat.other,1561.571,133165.6600012779,0.011726529196678893
AS14.01,2014-03,appCat.social,19831.208,133165.6600012779,0.14892133602469054
AS14.01,2014-03,appCat.travel,2788.694,133165.6600012779,0.02094154003346838
AS14.01,2014-03,appCat.unknown,376.163,133165.6600012779,0.0028247747955170294
AS14.01,2014-03,appCat.utilities,2532.509,133165.6600012779,0.019017733250266605
AS14.01,2014-03,appCat.weather,30.386,133165.6600012779,0.00022818195020929877
AS14.01,2014-04,appCat.builtin,63690.488,368404.17299771315,0.17288210250646469
AS14.01,2014-04,appCat.communication,176236.579,368404.17299771315,0.47837834616790287
AS14.01,2014-04,appCat.entertainment,38242.643,368404.17299771315,0.10380621557247503
AS14.01,2014-04,appCat.finance,2629.686,368404.17299771315,0.007138046180644984
AS14.01,2014-04,appCat.game,712.595,368404.17299771315,0.0019342750496054327
AS14.01,2014-04,appCat.office,223.171,368404.17299771315,0.0006057776115402073
AS14.01,2014-04,appCat.other,4442.4619999999995,368404.17299771315,0.012058663624387274
AS14.01,2014-04,appCat.social,52034.62,368404.17299771315,0.14124329693823257
AS14.01,2014-04,appCat.travel,3277.9629999999997,368404.17299771315,0.00889773580284702
AS14.01,2014-04,appCat.unknown,3.148,368404.17299771315,8.54496292586659e-06
AS14.01,2014-04,appCat.utilities,8378.576,368404.17299771315,0.022742891134547513
AS14.01,2014-05,appCat.builtin,5621.591,46469.43599939346,0.12097394511251171
AS14.01,2014-05,appCat.communication,24865.58,46469.43599939346,0.5350953689286128
AS14.01,2014-05,appCat.entertainment,4832.624,46469.43599939346,0.10399575325302156
AS14.01,2014-05,appCat.finance,2687.165,46469.43599939346,0.05782650342550045
AS14.01,2014-05,appCat.office,28.098,46469.43599939346,0.0006046554987318276
AS14.01,2014-05,appCat.other,152.96699999999998,46469.43599939346,0.003291776556143194
AS14.01,2014-05,appCat.social,6415.591,46469.43599939346,0.13806044472077816
AS14.01,2014-05,appCat.travel,143.631,46469.43599939346,0.0030908703088601015
AS14.01,2014-05,appCat.unknown,30.102,46469.43599939346,0.0006477806186499208
AS14.01,2014-05,appCat.utilities,670.588,46469.43599939346,0.014430732492831477
AS14.02,2014-03,appCat.builtin,45595.051,98610.97800183296,0.46237297229880925
AS14.02,2014-03,appCat.communication,44439.339,98610.97800183296,0.4506530601407682
AS14.02,2014-03,appCat.entertainment,10709.603000000001,98610.97800183296,0.10860457138758864
AS14.02,2014-03,appCat.other,2438.485,98610.97800183296,0.024728331970854948
