id,year_month,variable,value,monthly_screen_time,app_to_screen_ratio,difference
AS14.14,2014-04,appCat.builtin,93946.925,18140.793999195103,5.178765880047388,75806.1310008049
AS14.14,2014-05,appCat.builtin,5770.843,1839.2400012016294,3.137623690344783,3931.60299879837
AS14.08,2014-05,appCat.communication,12230.246,9277.722001075741,1.3182380328470626,2952.523998924258
