id,year_month,monthly_screen_time,monthly_app_usage,app_to_screen_ratio
AS14.14,2014-04,18140.793999195103,109687.588,6.046460149697239
AS14.14,2014-05,1839.2400012016294,6525.922,3.5481622821037075
AS14.08,2014-05,9277.722001075741,19353.113,2.0859768160498913
AS14.08,2014-03,31179.19400048256,62281.996,1.9975499045625125
AS14.19,2014-04,84359.23200154305,138831.856,1.6457221421534585
AS14.17,2014-03,68269.15200543404,111558.337,1.6340958357168442
AS14.17,2014-05,20845.56600117683,33958.409,1.6290471075759174
AS14.03,2014-04,134705.51399040222,208815.531,1.5501632027838008
AS14.19,2014-05,10459.621001243595,16177.688,1.5466801328725541
AS14.08,2014-04,63514.361998319626,93947.046,1.479146496071007
AS14.26,2014-04,116478.7130060196,169909.951,1.4587210539596112
AS14.09,2014-03,74200.63799977304,106566.787,1.436197718412151
AS14.14,2014-03,102858.14800024033,142882.76,1.3891243696091646
AS14.15,2014-05,2475.34200000763,3360.725,1.3576810800243526
AS14.27,2014-04,117718.79499769212,158740.853,1.3484750077768985
AS14.07,2014-05,15401.742000103,20459.603,1.3283953853962216
AS14.17,2014-04,172473.85700201988,228295.781,1.323654407504358
AS14.12,2014-04,223542.77299904823,293860.518,1.3145605830041802
AS14.26,2014-05,191277.20000362396,244497.671,1.2782374009833253
AS14.15,2014-04,27069.426999807354,34332.971,1.2683301719036881
AS14.32,2014-05,46052.772997140884,56424.871,1.225222007880026
AS14.28,2014-05,56198.14499759675,67210.523,1.1959562544791147
AS14.20,2014-03,11795.892999887472,14068.46,1.1926574783387918
AS14.29,2014-04,229967.32199788094,272310.897,1.184128660690797
AS14.02,2014-03,98610.97800183296,116231.19900000001,1.1786841724441626
AS14.13,2014-03,139648.56099033356,163439.401,1.1703622281601116
AS14.09,2014-04,88017.90900611877,102317.57,1.162463084562565
AS14.03,2014-03,45136.39100027085,51816.044,1.1479881942641155
AS14.12,2014-03,33431.10500073434,38368.56,1.1476904517262354
AS14.19,2014-03,39327.000995397575,45044.467,1.145382710603118
AS14.16,2014-05,5207.1140003204355,5905.227,1.1340690831114133
AS14.06,2014-04,230049.77099990848,260317.8,1.131571654553412
AS14.06,2014-05,38182.3219974041,43159.614,1.130355927618396
AS14.06,2014-03,53571.5250031948,60257.766,1.1248096072756275
AS14.25,2014-04,194853.77500152588,218713.712,1.1224504734295615
AS14.24,2014-04,68406.22700095177,76018.232,1.1112764924009377
AS14.05,2014-04,149874.42600512507,165918.742,1.1070517260518233
AS14.13,2014-04,249900.22999978063,274327.441,1.097747853214224
AS14.29,2014-05,110235.80800485611,120552.868,1.0935908229990876
AS14.15,2014-03,16240.122000217438,17320.238,1.066509106259676
AS14.28,2014-03,1870.4369995594018,1989.992,1.0639182182927094
AS14.30,2014-04,404900.7380013466,428299.145,1.0577880077822324
AS14.05,2014-03,98854.35000205041,103740.231,1.0494250480413683
AS14.20,2014-04,32447.1980009079,34029.053,1.0487516672178545
AS14.25,2014-05,71914.0899963379,74949.003,1.0422019245994303
AS14.13,2014-05,14677.329998731619,15159.588,1.032857338583384
AS14.23,2014-03,135904.23299694058,139839.437,1.0289557132716243
AS14.16,2014-03,12667.991000652317,12975.481,1.0242729884582211
AS14.05,2014-05,25581.221996545795,25984.548,1.0157664869766059
AS14.07,2014-04,256438.55801105502,260167.01,1.0145393579571769
AS14.23,2014-05,30533.563003778454,30778.087,1.0080083675852467
AS14.03,2014-05,29407.851000070576,29331.816,0.9974144659509329
AS14.24,2014-06,32991.04499578476,32802.061,0.994271657784441
AS14.01,2014-05,46469.43599939346,45447.937,0.978017830915641
AS14.12,2014-05,43121.07900333403,42063.315,0.9754699087364617
AS14.28,2014-04,273364.4290010929,266239.304,0.9739354347340325
AS14.30,2014-05,44016.566000461564,42816.447,0.9727348335067988
AS14.30,2014-03,176586.99100327492,171469.33,0.9710190372790257
AS14.27,2014-05,66489.68099737167,64487.123,0.9698816723537772
AS14.23,2014-04,325653.45699834824,312416.03,0.9593511853970113
AS14.01,2014-03,133165.6600012779,127681.053,0.9588136536008963
AS14.01,2014-04,368404.17299771315,349871.931,0.9496958955515734
AS14.07,2014-03,145039.64999651906,136407.393,0.9404834678191362
AS14.24,2014-05,142535.99100542068,132280.509,0.928049877556675
AS14.02,2014-04,76883.44499850273,69509.092,0.9040839936523872
AS14.32,2014-04,153159.44199228287,136606.935,0.8919263038767347
AS14.33,2014-04,185816.3639998436,161064.319,0.8667929752415969
AS14.33,2014-05,294003.39799404144,251675.139,0.8560279939523036
AS14.31,2014-04,206580.25999450684,165470.119,0.8009967603119486
AS14.31,2014-05,20939.645000457764,13095.353,0.6253856261514329
AS14.16,2014-04,34510.78099918366,21368.812,0.6191923619609035
